"","Symbol","Name","LastSale","Sector","industry","Price/Book","P/E Ratio","Price/EPS Estimate Next Year","Dividend Yield","Market Capitalization","Shares Outstanding","Book Value","Earnings End Time","Earnings Start Time"
"1","DDD","3D Systems Corporation",12.14,"Technology","Computer Software: Prepackaged Software",2.259866,NA,37.937504,NA,1386157440,114181000,5.372,1552939200,1552420800
"2","MMM","3M Company",207.49,"Health Care","Medical/Dental Instruments",12.212479,23.339706,17.948961,0.026230773,119472742400,575800000,16.99,1524832200,1524486600
"3","WBAI","500.com Limited",15.69,"Consumer Services","Services-Misc. Amusement & Recreation",3.2277308,NA,60.346153,NA,667146624,42520500,4.861,1495456200,1495110600
"4","WUBA","58.com Inc.",62.13,"Technology","Computer Software: Programming, Data Processing",2.8194773,30.605913,19.537735,NA,9203876864,148139008,22.036,1552311000,1551879000
"5","EGHT","8x8 Inc",19.52,"Technology","EDP Services",8.198236,NA,-130.13333,NA,1867179904,95654704,2.381,1559044800,1558522740
"6","AHC","A.H. Belo Corporation",3.99,"Consumer Services","Newspapers/Magazines",0.9937734,12.239264,8.866667,0.07901234,86354376,19173200,4.015,1533303000,1532957400
"7","AOS","A.O Smith Corporation",52.58,"Consumer Durables","Consumer Electronics/Appliances",5.1493487,20.379847,17.703705,0.014635085,8828865536,141852992,10.211,1556541000,1556022600
"8","ATEN","A10 Networks, Inc.",7.01,"Technology","Computer Communications Equipment",4.9857755,NA,31.863638,NA,517326816,73798400,1.406,1550064600,1549546200
"9","AAC","AAC Holdings, Inc.",2.87,"Health Care","Medical Specialities",0.4871011,NA,41,NA,70608888,24602400,5.892,NA,NA
"10","AIR","AAR Corp.",36.57,"Capital Goods","Aerospace",1.3524407,26.158798,12.069307,0.008212429,1256384256,34355600,27.04,1553284800,1552939200
"11","AAN","Aaron&#39;s,  Inc.",54.85,"Technology","Diversified Commercial Services",2.0929523,19.730215,12.726218,0.0023024497,3686078720,67202896,26.207,1556541000,1556109000
"12","ABB","ABB Ltd",19.57,"Consumer Durables","Electrical Products",2.9905255,19.205101,12.155279,0.0412481,41562570752,2131800064,6.544,NA,NA
"13","ABT","Abbott Laboratories",78.59,"Health Care","Major Pharmaceuticals",4.5203037,59.134686,21.830555,0.014944601,138040967168,1756470016,17.386,1555936200,1555417800
"14","ABBV","AbbVie Inc.",80.1,"Health Care","Major Pharmaceuticals",-14.025564,21.885244,8.494167,0.049848564,120488026112,1504220032,-5.711,1556541000,1556109000
"15","ANF","Abercrombie & Fitch Company",22.4,"Consumer Services","Clothing/Shoe/Accessory Stores",1.311629,29.986614,20.18018,0.036446467,1474930176,65845100,17.078,1552311000,1551792600
"16","ABM","ABM Industries Incorporated",36.01,"Finance","Diversified Commercial Services",1.6339958,24.3805,16.004444,0.019629838,2384221952,66210000,22.038,1552078800,1551733200
"17","AKR","Acadia Realty Trust",27.93,"Consumer Services","Real Estate Investment Trusts",1.5607711,73.5,66.5,0.03825904,2370779392,81553296,17.895,1556884800,1556535540
"18","ACN","Accenture plc",164.2,"Miscellaneous","Business Services",8.254575,25.222733,20.837563,0.017288387,104669126656,637449024,19.892,1553517000,1553085000
"19","ACCO","Acco Brands Corporation",9.32,"Consumer Durables","Publishing",1.2125943,9.32,7.169231,0.025806451,957536768,102740000,7.686,1556886600,1556541000
"20","ATV","Acorn International, Inc.",29.5,"Consumer Services","Other Specialty Stores",0.87808484,7.5757575,NA,NA,73557360,2580960,32.457,1552311000,1551792600
"21","ATU","Actuant Corporation",24.49,"Technology","Industrial Machinery/Components",2.782006,NA,18.27612,0.0016359917,1496946304,61124800,8.803,1553517000,1552998600
"22","AYI","Acuity Brands, Inc. ",132.28,"Consumer Durables","Building Products",3.0219543,15.001134,12.830261,0.003996311,5223737344,39490000,43.773,1554726600,1554208200
"23","GOLF","Acushnet Holdings Corp.",25.3,"Consumer Non-Durables","Recreational Products/Toys",2.1136172,18.937126,15.714285,0.020473706,1891430400,74760096,11.97,1552311000,1551792600
"24","AGRO","Adecoagro S.A.",7.08,"Consumer Non-Durables","Farming/Seeds/Milling",0.8101613,NA,19.135134,NA,825216448,116556000,8.739,1552939200,1552507200
"25","ADNT","Adient plc",19.28,"Capital Goods","Auto Parts:O.E.M.",0.7620554,NA,4.4526563,0.04243827,1803304704,93532400,25.3,1557145800,1556713800
"26","ADT","ADT Inc.",7.96,"Consumer Services","Diversified Commercial Services",1.3759724,32.62295,7.439252,0.013125,6022440960,756588032,5.785,NA,NA
"27","ATGE","Adtalem Global Education Inc.",49.26,"Consumer Services","Other Consumer Services",2.0013,27.442896,15.064219,0,2846242816,57780000,24.614,NA,NA
"28","AAP","Advance Auto Parts Inc",160.62,"Consumer Services","Other Specialty Stores",3.259136,28.031412,17.032873,0.001483496,11445795840,71260096,49.283,1558701000,1558355400
"29","ADSW","Advanced Disposal Services, Inc.",26.69,"Public Utilities","Environmental Services",2.596809,251.79247,35.118423,NA,2367200256,88692400,10.278,1557144000,1556621940
"30","WMS","Advanced Drainage Systems, Inc.",25.78,"Capital Goods","Containers/Packaging",3.8801928,23.059034,18.955883,0.012195122,1472999680,57137300,6.644,1559565000,1559046600
"31","ASIX","AdvanSix Inc.",33,"Basic Industries","Major Chemicals",2.3038256,15.42056,8.333333,NA,957874496,29026500,14.324,1510579800,1510147800
"32","ACM","AECOM",31.53,"Consumer Services","Military/Government/Technical",1.2136726,67.371796,9.977848,NA,4921675776,156095008,25.979,1557491400,1557145800
"33","AEG","Aegon NV",5.36,"Finance","Life Insurance",0.3959226,4.908425,3.9703703,0.060820896,10779549696,2046249984,13.538,NA,NA
"34","AER","Aercap Holdings N.V.",45.07,"Technology","Diversified Commercial Services",0.7159992,6.598829,6.259722,NA,6623532032,146960992,62.947,1556859600,1556499600
"35","HIVE","Aerohive Networks, Inc.",5.09,"Technology","EDP Services",16.107595,NA,46.272728,NA,282776992,55555400,0.316,1557144000,1556621940
"36","AJRD","Aerojet Rocketdyne Holdings, Inc. ",36.57,"Capital Goods","Military/Government/Technical",6.666059,20.897142,22.163637,NA,2866758912,78391000,5.486,1502481600,1502136000
"37","AMG","Affiliated Managers Group, Inc.",110.53,"Finance","Investment Managers",1.6624053,24.453539,7.172615,0.010947906,5752942592,52048700,66.488,1556913600,1556568000
"38","AFL","Aflac Incorporated",49.17,"Finance","Accident &Health Insurance",1.5828612,13.042439,11.099323,0.02116402,36893822976,750332032,31.064,1549314000,1548795600
"39","AGCO","AGCO Corporation",68.45,"Capital Goods","Industrial Machinery/Components",1.8064021,19.120111,12.770521,0.008878366,5358553088,78284200,37.893,1556886600,1556541000
"40","A","Agilent Technologies, Inc.",81.24,"Capital Goods","Biotechnology: Laboratory Analytical Instruments",5.130083,23.132118,23.9646,0.007691339,25803122688,317616000,15.836,1558094400,1557745140
"41","AEM","Agnico Eagle Mines Limited",42.24,"Basic Industries","Precious Metals",2.1766465,NA,37.714287,0.010362694,9816365056,232395008,19.406,1487037600,1486605600
"42","ADC","Agree Realty Corporation",65.47,"Consumer Services","Real Estate Investment Trusts",1.9774677,36.473537,39.203594,0.032785635,2466490624,37326000,33.108,1556280000,1555930740
"43","AL","Air Lease Corporation",38.06,"Technology","Diversified Commercial Services",0.8784766,8.270317,5.638519,0.012312634,4222757120,110950000,43.325,1557748800,1557313140
"44","APD","Air Products and Chemicals, Inc.",180.1,"Basic Industries","Major Chemicals",3.6346393,23.533257,19.47027,0.024285242,39555547136,219631008,49.551,1556541000,1556109000
"45","AYR","Aircastle Limited",19.81,"Technology","Diversified Commercial Services",0.7441493,6.249211,7.419475,0.05740181,1488249984,75126200,26.621,1557145800,1556713800
"46","AKS","AK Steel Holding Corporation",3.04,"Basic Industries","Steel/Iron Ore",9.589905,5.1525426,6.6086955,NA,961579328,316308992,0.317,1556886600,1556541000
"47","ALG","Alamo Group, Inc.",96.89,"Capital Goods","Industrial Machinery/Components",2.2329516,15.502399,14.906154,0.004477301,1137033216,11735300,43.391,1494273600,1493928000
"48","AGI","Alamos Gold Inc.",4.82,"Basic Industries","Precious Metals",0.7247031,NA,15.548388,0.004132231,1856543616,390391008,6.651,NA,NA
"49","ALK","Alaska Air Group, Inc.",61.31,"Transportation","Air Freight/Delivery Services",2.013597,17.417614,8.421703,0.020745542,7548241920,123116000,30.448,1556308800,1555963200
"50","AIN","Albany International Corporation",76.97,"Basic Industries","Textiles",4.1033163,29.949417,19.535534,0.008897485,2483491072,29031700,18.758,1557864000,1557518400
"51","ALB","Albemarle Corporation",90.79,"Basic Industries","Major Chemicals",2.6744633,14.320189,13.331865,0.014678497,9642442752,106206000,33.947,1557748800,1557226740
"52","AA","Alcoa Corporation",29.66,"Basic Industries","Aluminum",1.0169375,24.716665,9.692811,0.012203391,5501870592,185498000,29.166,1555963200,1555444800
"53","ALEX","Alexander & Baldwin, Inc.",22.97,"Consumer Services","Real Estate Investment Trusts",1.3687284,NA,29.075947,0,1654462592,72027104,16.782,1557518400,1557158400
"54","ALX","Alexander&#39;s, Inc.",368.9,"Consumer Services","Real Estate Investment Trusts",6.608624,57.47001,15.611511,0.04715622,1884079232,5107290,55.821,1556886600,1556541000
"55","ARE","Alexandria Real Estate Equities, Inc.",135.91,"Consumer Services","Real Estate Investment Trusts",2.0731578,38.610798,46.071186,0.027448673,15320862720,112728000,65.557,1556884800,1556535540
"56","AQN","Algonquin Power & Utilities Corp.",11.04,"Public Utilities","Electric Utilities: Central",1.8101329,29.052631,NA,0.04283138,5348747264,473900992,6.099,NA,NA
"57","BABA","Alibaba Group Holding Limited",183.88,"Miscellaneous","Business Services",7.4151144,52.582214,27.201183,NA,476650078208,2592179968,24.798,1557145800,1556800200
"58","Y","Alleghany Corporation",643.23,"Finance","Property-Casualty Insurers",1.2188226,245.50763,15.968967,NA,9305286656,14466500,527.747,1557144000,1556708340
"59","ATI","Allegheny Technologies Incorporated",28.99,"Basic Industries","Steel/Iron Ore",1.9247111,17.972721,11.236434,0,3643579136,125684000,15.062,1556281800,1555936200
"60","ALLE","Allegion plc",91.2,"Consumer Services","Diversified Commercial Services",13.25774,20.088106,17.207546,0.009337483,8614596608,94458304,6.879,1556541000,1556109000
"61","AGN","Allergan plc.",140.72,"Health Care","Major Pharmaceuticals",0.71879166,NA,8.059566,0.020913513,46805446656,332614016,195.773,1556886600,1556541000
"62","ALE","Allete, Inc.",81.68,"Public Utilities","Power Generation",1.9515924,24.16568,20.997429,0.02763726,4208104704,51519400,41.853,1557145800,1556627400
"63","ADS","Alliance Data Systems Corporation",173.59,"Miscellaneous","Business Services",3.9748578,9.9251,7.1436214,0.01317919,9199870976,52997700,43.672,1555936200,1555504200
"64","AB","AllianceBernstein Holding L.P.",29.55,"Finance","Investment Managers",1.9168396,11.838942,11.235741,0.09200138,2856252928,96558304,15.416,1558009800,1557750600
"65","NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.19,"Finance","Finance: Consumer Services",0.828857,11.061706,NA,0.080115035,1155631488,94801600,14.707,1522699200,1522353600
"66","ALSN","Allison Transmission Holdings, Inc.",48.94,"Capital Goods","Auto Parts:O.E.M.",9.375479,10.238493,10.827434,0.012108982,6172802048,126130000,5.22,1556913600,1556568000
"67","ALL","Allstate Corporation (The)",95.01,"Finance","Property-Casualty Insurers",1.6274409,15.941276,9.635903,0.019495657,31539806208,331963008,58.38,1462838400,1462320000
"68","ALLY","Ally Financial Inc.",27.03,"Finance","Major Banks",0.824865,9.162712,6.7071958,0.020671835,10884062208,402665984,32.769,1556537400,1556091000
"69","AYX","Alteryx, Inc.",74,"Technology","Computer Software: Prepackaged Software",15.068215,172.09302,102.77777,NA,4542356992,37630900,4.911,NA,NA
"70","ATUS","Altice USA, Inc.",21.51,"Consumer Services","Television Services",4.250988,827.3077,21.29703,NA,15393674240,502612992,5.06,1551474000,1551128400
"71","MO","Altria Group",52.75,"Consumer Non-Durables","Farming/Seeds/Milling",6.6780605,14.334239,11.74833,0.057240985,98763825152,1872300032,7.899,1556535600,1556089200
"72","ACH","Aluminum Corporation of China Limited",10.49,"Basic Industries","Aluminum",0.7992381,32.276924,-1049,NA,8603215872,14903799808,13.125,NA,NA
"73","AMBR","Amber Road, Inc.",9.92,"Technology","Computer Software: Prepackaged Software",9.193698,NA,248,NA,278516896,28076300,1.079,1494244800,1493895540
"74","ABEV","Ambev S.A.",4.39,"Consumer Non-Durables","Beverages (Production/Distribution)",4.4478216,24.943182,16.884615,0.03134658,69881331712,15720200192,0.987,NA,NA
"75","AMC","AMC Entertainment Holdings, Inc.",16,"Consumer Services","Movies/Entertainment",1.3192612,39.02439,45.714287,0.05702067,1656224000,51744400,12.128,1557489600,1557140340
"76","AEE","Ameren Corporation",70.93,"Public Utilities","Power Generation",2.2725961,21.364458,20.093485,0.025940483,17342384128,244500000,31.211,1557750600,1557232200
"77","AMRC","Ameresco, Inc.",16.54,"Basic Industries","Engineering & Construction",2.0878568,15.24424,21.20513,NA,760452992,27976600,7.922,1502454600,1502109000
"78","AMOV","America Movil, S.A.B. de C.V.",14.3,"Public Utilities","Telecommunications Equipment",6.4414415,35.75,NA,0.0011103401,48144384000,66050600960,2.22,NA,NA
"79","AAT","American Assets Trust, Inc.",43.82,"Consumer Services","Real Estate Investment Trusts",2.583117,104.58234,85.92157,0.025092082,2826525696,47325500,16.964,1556884800,1556535540
"80","AXL","American Axle & Manufacturing Holdings, Inc.",16.08,"Capital Goods","Auto Parts:O.E.M.",1.2103877,NA,5.36,NA,1796650496,111732000,13.285,1557145800,1556800200
"81","ACC","American Campus Communities Inc",45.03,"Consumer Services","Real Estate Investment Trusts",1.7726252,53.607143,64.32857,0.040390592,6190633984,137031008,25.403,1556308800,1555963200
"82","AEO","American Eagle Outfitters, Inc.",20.66,"Consumer Services","Clothing/Shoe/Accessory Stores",2.8135638,13.226632,12.674847,0.02632353,3645085184,176432000,7.343,1552311000,1551879000
"83","AEP","American Electric Power Company, Inc.",81.4,"Public Utilities","Electric Utilities: Central",2.1100109,20.871796,18.542143,0.031176832,40153645056,493288000,38.578,1556541000,1556109000
"84","AEL","American Equity Investment Life Holding Company",31.97,"Finance","Life Insurance",1.2042338,6.381237,7.933002,0.008846762,2893364736,90502496,26.548,1557144000,1556621940
"85","AXP","American Express Company",108.9,"Finance","Finance: Consumer Services",4.138167,13.767384,12.154018,0.013736774,91842887680,843369024,26.316,1555963200,1555444800
"86","AFG","American Financial Group, Inc.",99.77,"Finance","Property-Casualty Insurers",1.79249,17.0547,11.3375,0.014549468,8908662784,89292000,55.66,1557144000,1556621940
"87","AMH","American Homes 4 Rent",21.77,"Consumer Services","Real Estate Investment Trusts",1.2297351,272.125,87.08,0.00915751,7662409216,296020000,17.703,1557144000,1556708340
"88","AIG","American International Group, Inc.",43.23,"Finance","Property-Casualty Insurers",0.66470873,NA,8.560395,0.02962963,37587881984,869486016,65.036,1558123200,1557777600
"89","AMID","American Midstream Partners, LP",4.02,"Public Utilities","Natural Gas Distribution",1.0694333,NA,-4.231579,0.26101267,220284336,53816100,3.759,1552653000,1552307400
"90","ARL","American Realty Investors, Inc.",12.95,"Finance","Real Estate",1.5240673,8.779661,NA,NA,205349440,15857100,8.497,1554724800,1554289140
"91","ARA","American Renal Associates Holdings, Inc",13.88,"Health Care","Hospital/Nursing Management",-6.138877,NA,23.133333,0.10408326,451337344,32517100,-2.261,1552078800,1551733200
"92","AWR","American States Water Company",70.51,"Public Utilities","Water Supply",4.6427865,40.899075,33.89904,0.014902291,2592948992,36774200,15.187,1557518400,1557172800
"93","AMT","American Tower Corporation (REIT)",177.92,"Consumer Services","Real Estate Investment Trusts",14.706563,64.23105,42.769234,0.017882487,78371627008,440488000,12.098,1556881200,1556521200
"94","AVD","American Vanguard Corporation",19.06,"Basic Industries","Agricultural Chemicals",1.7584648,22.71752,21.65909,0.0039936104,577899200,30320000,10.839,1552680000,1552334400
"95","AWK","American Water Works",101.44,"Public Utilities","Water Supply",3.125655,32.203175,26.07712,0.017516237,18335483904,180752000,32.454,1557144000,1556621940
"96","COLD","Americold Realty Trust",28.77,"Consumer Services","Real Estate Investment Trusts",6.0339766,89.90625,44.953125,0.024417393,4280803328,148794000,4.768,NA,NA
"97","APU","AmeriGas Partners, L.P.",27.75,"Consumer Services","Other Specialty Stores",5.508138,30.163042,11.2348175,0.1339443,2580397568,92987296,5.038,1557144000,1556621940
"98","AMP","AMERIPRISE FINANCIAL SERVICES, INC.",132.18,"Finance","Investment Managers",3.2247677,9.308451,7.729824,0.026817594,18452326400,139600000,40.989,1556280000,1555930740
"99","ABC","AmerisourceBergen Corporation (Holding Co)",82.98,"Health Care","Other Pharmaceuticals",5.7441506,15.222895,11.259159,0.018487394,17516249088,211090000,14.446,1557145800,1556627400
"100","ANFI","Amira Nature Foods Ltd",1.04,"Consumer Non-Durables","Packaged Foods",0.19530517,NA,0.9122807,NA,42712592,41069800,5.325,1441038600,1440779400
"101","AMN","AMN Healthcare Services Inc",49.18,"Technology","Professional Services",3.589781,16.900343,14.011396,NA,2304825600,46865100,13.7,1557144000,1556708340
"102","AP","Ampco-Pittsburgh Corporation",3.56,"Capital Goods","Fluid Controls",0.30297872,NA,-4.3950615,0,44481488,12494800,11.75,1502107200,1501757940
"103","APH","Amphenol Corporation",95.11,"Capital Goods","Electrical Products",7.067697,24.703897,21.965359,0.009364691,28351055872,298087008,13.457,1556541000,1556022600
"104","AXR","AMREP Corporation",5.79,"Consumer Services","Newspapers/Magazines",0.5340343,NA,NA,NA,47060540,8127900,10.842,1553256000,1552906740
"105","AME","AMTEK, Inc.",79.57,"Consumer Durables","Metal Fabrications",4.2600923,23.823355,18.547785,0.007036944,18072893440,227132000,18.678,1557145800,1556627400
"106","APC","Anadarko Petroleum Corporation",44.4,"Energy","Oil & Gas Production",2.5576036,37,17.903227,0.02413793,22181175296,499576000,17.36,1556884800,1556535540
"107","PLAN","Anaplan, Inc.",39.83,"Technology","Computer Software: Prepackaged Software",15.426027,NA,-76.59616,NA,4977316352,124964000,2.582,NA,NA
"108","ANDX","Andeavor Logistics LP",35.28,"Energy","Natural Gas Distribution",1.8530384,13.813625,10.690908,0.116685614,8738397184,245484000,19.039,1557491400,1557145800
"109","AU","AngloGold Ashanti Limited",13.63,"Basic Industries","Precious Metals",2.1214008,42.727272,18.418919,0.0049400143,5754217984,411611008,6.425,NA,NA
"110","BUD","Anheuser-Busch Inbev SA",81.96,"Consumer Non-Durables","Beverages (Production/Distribution)",2.3409116,37.052444,15.822394,0.026368987,161682489344,1975000064,35.012,NA,NA
"111","AXE","Anixter International Inc.",59.34,"Consumer Non-Durables","Telecommunications Equipment",1.2795411,12.956332,8.791111,NA,1986809984,33481800,46.376,1556544600,1556112600
"112","NLY","Annaly Capital Management Inc",10.06,"Consumer Services","Real Estate Investment Trusts",1.0715809,NA,8.383333,0.11846002,14084604928,1400060032,9.388,1557144000,1556621940
"113","AMGP","Antero Midstream GP LP",12.75,"Public Utilities","Natural Gas Distribution",76.80723,38.636364,10.625,0.042364918,2374509056,186236000,0.166,1541448000,1540929600
"114","AM","Antero Midstream Partners LP",24.14,"Public Utilities","Natural Gas Distribution",2.7438052,10.228814,11.833333,0.07101449,4522146304,187330000,8.798,1556568000,1556049600
"115","AR","Antero Resources Corporation",9.15,"Energy","Oil & Gas Production",0.36834264,NA,33.888885,NA,2824156672,308651008,24.841,1556539200,1556017140
"116","ANTM","Anthem, Inc.",307.68,"Health Care","Medical Specialities",2.7747915,21.682875,13.928474,0.009975726,79077449728,257012000,110.884,1556532000,1555999200
"117","ANH","Anworth Mortgage Asset  Corporation",4.2,"Consumer Services","Real Estate Investment Trusts",0.88738644,NA,9.333333,0.13145539,413628576,98483000,4.733,1557144000,1556621940
"118","AON","Aon plc",171.65,"Finance","Specialty Insurers",9.928278,37.39651,16.665047,0.009094619,41195827200,239999008,17.289,1557232200,1556800200
"119","APA","Apache Corporation",33.99,"Energy","Oil & Gas Production",1.7877243,323.71432,29.301727,0.030138638,12900701184,379544000,19.013,1557144000,1556621940
"120","AIV","Apartment Investment and Management Company",49.06,"Consumer Services","Real Estate Investment Trusts",4.506706,11.301543,196.24,0.03225015,7555043840,144267008,10.886,1557489600,1557140340
"121","APY","Apergy Corporation",41.98,"Technology","Industrial Machinery/Components",3.3188393,34.694214,20.782179,NA,3246766848,77340800,12.649,NA,NA
"122","APHA","Aphria Inc.",10.14,"Consumer Durables","Specialty Chemicals",1.8971002,33.913044,NA,NA,2510623488,249762000,5.345,NA,NA
"123","ARI","Apollo Commercial Real Estate Finance",18.09,"Consumer Services","Real Estate Investment Trusts",0.96485144,12.239512,9.229591,0.101321585,2429252096,134287008,18.749,1557144000,1556621940
"124","APO","Apollo Global Management, LLC",29.24,"Finance","Investment Managers",5.4787335,18.195395,9.945578,0.06587031,11805532160,201400000,5.337,1557145800,1556713800
"125","APLE","Apple Hospitality REIT, Inc.",16.52,"Consumer Services","Real Estate Investment Trusts",1.0854853,18.416946,18.561798,0.07281554,3695937024,223724992,15.219,1557518400,1557172800
"126","AIT","Applied Industrial Technologies, Inc.",58.83,"Consumer Durables","Industrial Specialties",2.5621707,14.040573,11.813253,0.020639837,2280233216,38759700,22.961,1556541000,1556109000
"127","ATR","AptarGroup, Inc.",100.81,"Consumer Non-Durables","Plastic Products",4.4586463,33.603333,21.089956,0.012975523,6344043520,62930700,22.61,1550264400,1549918800
"128","APTV","Aptiv PLC",84.27,"Capital Goods","Auto Parts:O.E.M.",6.334185,20.962687,13.90594,0.010588377,21913149440,260035008,13.304,1557145800,1556627400
"129","WTR","Aqua America, Inc.",36,"Public Utilities","Water Supply",3.1906407,33.364227,22.78481,0.023567056,6413256192,178146000,11.283,1557489600,1557140340
"130","AQ","Aquantia Corp.",7.86,"Technology","Semiconductors",2.946027,NA,NA,NA,273957152,34854600,2.668,NA,NA
"131","WAAS","AquaVenture Holdings Limited",20.65,"Public Utilities","Water Supply",1.642931,NA,-48.023254,NA,553006976,26780000,12.569,NA,NA
"132","ARMK","Aramark",30.53,"Consumer Services","Restaurants",2.3328495,14.727448,11.608365,0.01419142,7519447552,246296992,13.087,1557491400,1557145800
"133","ABR","Arbor Realty Trust",12.88,"Consumer Services","Real Estate Investment Trusts",1.3426456,8.586667,10.222222,0.08037094,1365434624,85358304,9.593,1557145800,1556800200
"134","ARC","ARC Document Solutions, Inc.",2.36,"Consumer Services","Professional Services",0.77098984,11.919191,13.11111,NA,108063216,45789500,3.061,1501876800,1501790400
"135","MT","ArcelorMittal",23.12,"Basic Industries","Steel/Iron Ore",0.5567999,4.5873017,6.586895,0.008752735,23463331840,1.014e+09,41.523,1488214800,1487692740
"136","ARCH","Arch Coal, Inc.",93.64,"Energy","Coal Mining",2.3689537,6.180858,8.759588,0.017174752,1656388608,17688600,39.528,1556541000,1556109000
"137","ADM","Archer-Daniels-Midland Company",42.43,"Consumer Non-Durables","Packaged Foods",1.249595,13.3009405,11.405914,0.03152941,23764578304,560089024,33.955,1556886600,1556541000
"138","AROC","Archrock, Inc.",10.08,"Public Utilities","Natural Gas Distribution",1.5500538,54.486485,14.197184,0.052868847,1314573056,130414000,6.503,1557145800,1556713800
"139","ARNC","Arconic Inc.",18.7,"Capital Goods","Metal Fabrications",1.6377649,14.451314,10.053763,0.012979989,9068396544,484940992,11.418,1532694600,1532349000
"140","ARCO","Arcos Dorados Holdings Inc.",8.1,"Consumer Services","Restaurants",4.134763,17.5705,19.285715,0.012062727,1682135296,127671000,1.959,1553517000,1552998600
"141","ACA","Arcosa, Inc.",33.93,"Capital Goods","Industrial Machinery/Components",0.9849628,22.032469,13.5720005,0.001492983,1654616832,48765600,34.448,NA,NA
"142","RCUS","Arcus Biosciences, Inc.",11.96,"Health Care","Major Pharmaceuticals",2.1690242,NA,-6.102041,NA,531666240,44453700,5.514,NA,NA
"143","ARD","Ardagh Group S.A.",13.24,"Consumer Durables","Containers/Packaging",-2.0719874,NA,7.005291,0.043010753,3129062144,18638100,-6.39,1556535600,1556089200
"144","ASC","Ardmore Shipping Corporation",5.79,"Transportation","Marine Transportation",0.5529558,NA,8.15493,0,191636256,33097800,10.471,1501848000,1501757940
"145","ACRE","Ares Commercial Real Estate Corporation",15.19,"Consumer Services","Real Estate Investment Trusts",1.019121,11.251851,11.087591,0.076015726,433730688,28553700,14.905,1556886600,1556541000
"146","ARES","Ares Management Corporation",23.4,"Finance","Investment Managers",8.222066,79.32204,12.251308,0.047544453,5114724864,101530000,2.846,1557145800,1556713800
"147","AGX","Argan, Inc.",46.57,"Basic Industries","Engineering & Construction",1.8145334,11.922684,22.176191,0.016129032,725127488,15570700,25.665,1555331400,1554813000
"148","ARGO","Argo Group International Holdings, Ltd.",70.65,"Finance","Specialty Insurers",1.3736584,38.606556,15.665188,0.015537333,2399973376,33969900,51.432,1557864000,1557518400
"149","ANET","Arista Networks, Inc.",286.54,"Technology","Computer Communications Equipment",10.115795,70.64596,26.506937,NA,21699932160,75730896,28.326,1557144000,1556708340
"150","AI","Arlington Asset Investment Corp",8.23,"Finance","Finance/Investors Services",0.94294226,NA,4.702857,0.20205066,300992480,36572600,8.728,1557144000,1556621940
"151","ARLO","Arlo Technologies, Inc.",4.46,"Consumer Non-Durables","Consumer Electronics/Appliances",1.2286501,NA,-5.373494,NA,331178208,74255200,3.63,NA,NA
"152","AHH","Armada Hoffler Properties, Inc.",15.2,"Finance","Real Estate",2.237927,57.142857,52.413795,0.052287582,760212800,50014000,6.792,1556886600,1556541000
"153","ARR","ARMOUR Residential REIT, Inc.",19.86,"Consumer Services","Real Estate Investment Trusts",0.94544417,NA,8.597404,0.113715716,1165515904,58686600,21.006,1556539200,1556017140
"154","AFI","Armstrong Flooring, Inc.",14.53,"Consumer Non-Durables","Plastic Products",0.67396444,NA,24.62712,NA,375275008,25827600,21.559,1552051800,1551706200
"155","AWI","Armstrong World Industries Inc",73.91,"Consumer Non-Durables","Plastic Products",13.809791,20.76707,14.90121,0.0023913637,3584812544,48502400,5.352,1556886600,1556541000
"156","ARW","Arrow Electronics, Inc.",80.28,"Consumer Non-Durables","Electronic Components",1.2843567,9.911111,8.327801,NA,6817168896,84917400,62.506,1557145800,1556713800
"157","AJG","Arthur J. Gallagher & Co.",80.32,"Finance","Specialty Insurers",3.2849371,23.62353,18.592592,0.020428501,14783698944,184060000,24.451,1556884800,1556535540
"158","APAM","Artisan Partners Asset Management Inc.",26.32,"Finance","Investment Managers",10.536429,9.261084,10.3215685,0.08973384,2024931968,54063400,2.498,1556913600,1556568000
"159","ABG","Asbury Automotive Group Inc",71.19,"Consumer Durables","Automotive Aftermarket",2.9759216,8.597827,7.998877,NA,1395437952,19601600,23.922,1556281800,1555936200
"160","ASX","ASE Technology Holding Co., Ltd.",4.02,"Technology","Semiconductors",1.3171691,12.967742,11.823529,0.07096774,8672024576,4247239936,3.052,NA,NA
"161","ASGN","ASGN Incorporated",64.92,"Technology","Professional Services",2.8823867,21.821848,12.958083,NA,3406806784,52477000,22.523,1556539200,1556017140
"162","AHT","Ashford Hospitality Trust Inc",4.81,"Consumer Services","Real Estate Investment Trusts",1.0746202,NA,-3.510949,0.08955223,585367360,101038000,4.476,1557172800,1556740800
"163","ASH","Ashland Global Holdings Inc.",78.57,"Consumer Durables","Specialty Chemicals",1.4886321,72.082565,18.020641,0.012600156,4919935488,62618500,52.78,1485568800,1485482400
"164","ASPN","Aspen Aerogels, Inc.",3.52,"Consumer Services","RETAIL: Building Materials",1.1940298,NA,-12.137931,NA,84376160,23970500,2.948,1509998400,1509566400
"165","ASB","Associated Banc-Corp",23.45,"Finance","Major Banks",1.0809441,12.407408,10.856482,0.026632302,3807013888,162346000,21.694,1555963200,1555531200
